,id,innings,overs,ball_number,batter,bowler,non_striker,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team
233,1312199,1,0,1,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
234,1312199,1,0,2,V Kohli,TA Boult,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
236,1312199,1,0,4,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
237,1312199,1,0,5,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
238,1312199,1,0,6,V Kohli,TA Boult,F du Plessis,,6,0,6,0,0,,,,Royal Challengers Bangalore
241,1312199,1,1,3,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
242,1312199,1,1,4,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
243,1312199,1,1,5,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,1,V Kohli,caught,SV Samson,Royal Challengers Bangalore
469,1312198,1,0,1,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
470,1312198,1,0,2,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
471,1312198,1,0,3,V Kohli,Mohsin Khan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
472,1312198,1,0,4,V Kohli,Mohsin Khan,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
473,1312198,1,0,5,V Kohli,Mohsin Khan,F du Plessis,,3,0,3,0,0,,,,Royal Challengers Bangalore
476,1312198,1,1,1,V Kohli,PVD Chameera,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
477,1312198,1,1,2,V Kohli,PVD Chameera,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
478,1312198,1,1,3,V Kohli,PVD Chameera,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
479,1312198,1,1,4,V Kohli,PVD Chameera,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
482,1312198,1,2,1,V Kohli,Mohsin Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
483,1312198,1,2,2,V Kohli,Mohsin Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
484,1312198,1,2,3,V Kohli,Mohsin Khan,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
485,1312198,1,2,4,V Kohli,Mohsin Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
486,1312198,1,2,5,V Kohli,Mohsin Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
488,1312198,1,3,1,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
491,1312198,1,3,4,V Kohli,KH Pandya,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
492,1312198,1,3,5,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
500,1312198,1,5,1,V Kohli,KH Pandya,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
510,1312198,1,6,5,V Kohli,PVD Chameera,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
512,1312198,1,7,1,V Kohli,Ravi Bishnoi,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
514,1312198,1,7,3,V Kohli,Ravi Bishnoi,RM Patidar,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
515,1312198,1,7,4,V Kohli,Ravi Bishnoi,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
516,1312198,1,7,5,V Kohli,Ravi Bishnoi,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
518,1312198,1,7,7,V Kohli,Ravi Bishnoi,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
520,1312198,1,8,2,V Kohli,Avesh Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
521,1312198,1,8,3,V Kohli,Avesh Khan,RM Patidar,,0,0,0,0,1,V Kohli,caught,Mohsin Khan,Royal Challengers Bangalore
1813,1304113,2,0,1,V Kohli,Mohammed Shami,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1819,1304113,2,1,1,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1822,1304113,2,1,4,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1823,1304113,2,1,5,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1825,1304113,2,2,1,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1826,1304113,2,2,2,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1827,1304113,2,2,3,V Kohli,Mohammed Shami,F du Plessis,wides,0,5,5,0,0,,,,Royal Challengers Bangalore
1828,1304113,2,2,4,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1829,1304113,2,2,5,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1830,1304113,2,2,6,V Kohli,Mohammed Shami,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1832,1304113,2,3,1,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1833,1304113,2,3,2,V Kohli,HH Pandya,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1834,1304113,2,3,3,V Kohli,HH Pandya,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1835,1304113,2,3,4,V Kohli,HH Pandya,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1836,1304113,2,3,5,V Kohli,HH Pandya,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
1837,1304113,2,3,6,V Kohli,HH Pandya,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1839,1304113,2,4,1,V Kohli,Rashid Khan,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
1840,1304113,2,4,2,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1842,1304113,2,4,4,V Kohli,Rashid Khan,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1843,1304113,2,4,5,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1845,1304113,2,5,1,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1846,1304113,2,5,2,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1847,1304113,2,5,3,V Kohli,Yash Dayal,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1848,1304113,2,5,4,V Kohli,Yash Dayal,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1849,1304113,2,5,5,V Kohli,Yash Dayal,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1852,1304113,2,6,2,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1853,1304113,2,6,3,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1855,1304113,2,6,5,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1857,1304113,2,7,1,V Kohli,Yash Dayal,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1858,1304113,2,7,2,V Kohli,Yash Dayal,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1860,1304113,2,7,4,V Kohli,Yash Dayal,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1863,1304113,2,8,1,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1867,1304113,2,8,5,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1868,1304113,2,8,6,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1869,1304113,2,9,1,V Kohli,Rashid Khan,F du Plessis,,6,0,6,0,0,,,,Royal Challengers Bangalore
1870,1304113,2,9,2,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1872,1304113,2,9,4,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1876,1304113,2,10,2,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1877,1304113,2,10,3,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1879,1304113,2,10,5,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1881,1304113,2,11,1,V Kohli,LH Ferguson,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1884,1304113,2,11,4,V Kohli,LH Ferguson,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1887,1304113,2,12,1,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1888,1304113,2,12,2,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1889,1304113,2,12,3,V Kohli,R Sai Kishore,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
1890,1304113,2,12,4,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1892,1304113,2,12,6,V Kohli,R Sai Kishore,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1893,1304113,2,13,1,V Kohli,Yash Dayal,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1896,1304113,2,13,4,V Kohli,Yash Dayal,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
1897,1304113,2,13,5,V Kohli,Yash Dayal,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1900,1304113,2,14,2,V Kohli,Rashid Khan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
1904,1304113,2,14,6,V Kohli,Rashid Khan,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1905,1304113,2,15,1,V Kohli,HH Pandya,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1912,1304113,2,16,2,V Kohli,Rashid Khan,GJ Maxwell,,6,0,6,0,0,,,,Royal Challengers Bangalore
1913,1304113,2,16,3,V Kohli,Rashid Khan,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1914,1304113,2,16,4,V Kohli,Rashid Khan,GJ Maxwell,,0,0,0,0,1,V Kohli,stumped,MS Wade,Royal Challengers Bangalore
3551,1304106,2,0,1,V Kohli,Harpreet Brar,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
3555,1304106,2,0,5,V Kohli,Harpreet Brar,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3556,1304106,2,0,6,V Kohli,Harpreet Brar,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
3557,1304106,2,0,7,V Kohli,Harpreet Brar,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3559,1304106,2,1,2,V Kohli,Arshdeep Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3560,1304106,2,1,3,V Kohli,Arshdeep Singh,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
3561,1304106,2,1,4,V Kohli,Arshdeep Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3562,1304106,2,1,5,V Kohli,Arshdeep Singh,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
3563,1304106,2,1,6,V Kohli,Arshdeep Singh,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
3564,1304106,2,1,7,V Kohli,Arshdeep Singh,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
3567,1304106,2,2,3,V Kohli,Harpreet Brar,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3568,1304106,2,2,4,V Kohli,Harpreet Brar,F du Plessis,,6,0,6,0,0,,,,Royal Challengers Bangalore
3569,1304106,2,2,5,V Kohli,Harpreet Brar,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
3570,1304106,2,2,6,V Kohli,Harpreet Brar,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
3571,1304106,2,3,1,V Kohli,K Rabada,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
3572,1304106,2,3,2,V Kohli,K Rabada,F du Plessis,,0,0,0,0,1,V Kohli,caught,RD Chahar,Royal Challengers Bangalore
4800,1304100,1,0,1,V Kohli,J Suchith,F du Plessis,,0,0,0,0,1,V Kohli,caught,KS Williamson,Royal Challengers Bangalore
6011,1304095,1,0,1,V Kohli,Mukesh Choudhary,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6013,1304095,1,0,3,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6014,1304095,1,0,4,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6015,1304095,1,0,5,V Kohli,Mukesh Choudhary,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
6016,1304095,1,0,6,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6019,1304095,1,1,3,V Kohli,Simarjeet Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6020,1304095,1,1,4,V Kohli,Simarjeet Singh,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
6021,1304095,1,1,5,V Kohli,Simarjeet Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6022,1304095,1,1,6,V Kohli,Simarjeet Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6023,1304095,1,1,7,V Kohli,Simarjeet Singh,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
6027,1304095,1,2,4,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6028,1304095,1,2,5,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6029,1304095,1,2,6,V Kohli,Mukesh Choudhary,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
6030,1304095,1,2,7,V Kohli,Mukesh Choudhary,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6034,1304095,1,3,4,V Kohli,Simarjeet Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6035,1304095,1,3,5,V Kohli,Simarjeet Singh,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6036,1304095,1,3,6,V Kohli,Simarjeet Singh,F du Plessis,,6,0,6,0,0,,,,Royal Challengers Bangalore
6043,1304095,1,5,1,V Kohli,M Theekshana,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6045,1304095,1,5,3,V Kohli,M Theekshana,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6047,1304095,1,5,5,V Kohli,M Theekshana,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6050,1304095,1,6,2,V Kohli,RA Jadeja,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6052,1304095,1,6,4,V Kohli,RA Jadeja,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
6053,1304095,1,6,5,V Kohli,RA Jadeja,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
6058,1304095,1,7,4,V Kohli,MM Ali,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
6060,1304095,1,7,6,V Kohli,MM Ali,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
6061,1304095,1,8,1,V Kohli,RA Jadeja,GJ Maxwell,legbyes,0,4,4,0,0,,,,Royal Challengers Bangalore
6062,1304095,1,8,2,V Kohli,RA Jadeja,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
6064,1304095,1,8,4,V Kohli,RA Jadeja,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
6065,1304095,1,8,5,V Kohli,RA Jadeja,GJ Maxwell,,4,0,4,0,0,,,,Royal Challengers Bangalore
6066,1304095,1,8,6,V Kohli,RA Jadeja,GJ Maxwell,,0,0,0,0,1,GJ Maxwell,run out,RV Uthappa,Royal Challengers Bangalore
6067,1304095,1,9,1,V Kohli,MM Ali,MK Lomror,,1,0,1,0,0,,,,Royal Challengers Bangalore
6069,1304095,1,9,3,V Kohli,MM Ali,MK Lomror,,0,0,0,0,0,,,,Royal Challengers Bangalore
6070,1304095,1,9,4,V Kohli,MM Ali,MK Lomror,,0,0,0,0,0,,,,Royal Challengers Bangalore
6071,1304095,1,9,5,V Kohli,MM Ali,MK Lomror,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
6072,1304095,1,9,6,V Kohli,MM Ali,MK Lomror,,0,0,0,0,1,V Kohli,bowled,,Royal Challengers Bangalore
7486,1304089,1,0,1,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
7487,1304089,1,0,2,V Kohli,Mohammed Shami,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
7488,1304089,1,0,3,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
7489,1304089,1,0,4,V Kohli,Mohammed Shami,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
7490,1304089,1,0,5,V Kohli,Mohammed Shami,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
7491,1304089,1,0,6,V Kohli,Mohammed Shami,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
7493,1304089,1,1,1,V Kohli,PJ Sangwan,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
7494,1304089,1,1,2,V Kohli,PJ Sangwan,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
7499,1304089,1,2,1,V Kohli,Mohammed Shami,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7500,1304089,1,2,2,V Kohli,Mohammed Shami,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7501,1304089,1,2,3,V Kohli,Mohammed Shami,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
7502,1304089,1,2,4,V Kohli,Mohammed Shami,RM Patidar,legbyes,0,1,1,0,0,,,,Royal Challengers Bangalore
7508,1304089,1,3,4,V Kohli,PJ Sangwan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7509,1304089,1,3,5,V Kohli,PJ Sangwan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7510,1304089,1,3,6,V Kohli,PJ Sangwan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7511,1304089,1,4,1,V Kohli,AS Joseph,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
7512,1304089,1,4,2,V Kohli,AS Joseph,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
7513,1304089,1,4,3,V Kohli,AS Joseph,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7514,1304089,1,4,4,V Kohli,AS Joseph,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7517,1304089,1,5,1,V Kohli,PJ Sangwan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7520,1304089,1,5,4,V Kohli,PJ Sangwan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7522,1304089,1,5,6,V Kohli,PJ Sangwan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7523,1304089,1,6,1,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7525,1304089,1,6,3,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7527,1304089,1,6,5,V Kohli,Rashid Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7528,1304089,1,6,6,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7529,1304089,1,7,1,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7530,1304089,1,7,2,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7531,1304089,1,7,3,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7532,1304089,1,7,4,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7533,1304089,1,7,5,V Kohli,LH Ferguson,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7535,1304089,1,8,1,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7538,1304089,1,8,4,V Kohli,Rashid Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7539,1304089,1,8,5,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7541,1304089,1,9,1,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7542,1304089,1,9,2,V Kohli,LH Ferguson,RM Patidar,,6,0,6,0,0,,,,Royal Challengers Bangalore
7543,1304089,1,9,3,V Kohli,LH Ferguson,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
7544,1304089,1,9,4,V Kohli,LH Ferguson,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7545,1304089,1,9,5,V Kohli,LH Ferguson,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7547,1304089,1,10,1,V Kohli,AS Joseph,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7548,1304089,1,10,2,V Kohli,AS Joseph,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7552,1304089,1,10,6,V Kohli,AS Joseph,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
7554,1304089,1,11,2,V Kohli,Rashid Khan,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
7555,1304089,1,11,3,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7557,1304089,1,11,5,V Kohli,Rashid Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7561,1304089,1,12,3,V Kohli,Mohammed Shami,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7563,1304089,1,12,5,V Kohli,Mohammed Shami,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
7564,1304089,1,12,6,V Kohli,Mohammed Shami,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7565,1304089,1,13,1,V Kohli,LH Ferguson,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7567,1304089,1,13,3,V Kohli,LH Ferguson,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
7579,1304089,1,15,3,V Kohli,AS Joseph,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
7581,1304089,1,15,5,V Kohli,AS Joseph,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
7583,1304089,1,16,1,V Kohli,Mohammed Shami,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
7586,1304089,1,16,4,V Kohli,Mohammed Shami,GJ Maxwell,,0,0,0,0,1,V Kohli,bowled,,Royal Challengers Bangalore
8598,1304085,2,0,1,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8599,1304085,2,0,2,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8600,1304085,2,0,3,V Kohli,TA Boult,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8601,1304085,2,0,4,V Kohli,TA Boult,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
8602,1304085,2,0,5,V Kohli,TA Boult,F du Plessis,,4,0,4,0,0,,,,Royal Challengers Bangalore
8603,1304085,2,0,6,V Kohli,TA Boult,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
8604,1304085,2,1,1,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8605,1304085,2,1,2,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8606,1304085,2,1,3,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,0,,,,Royal Challengers Bangalore
8607,1304085,2,1,4,V Kohli,M Prasidh Krishna,F du Plessis,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
8608,1304085,2,1,5,V Kohli,M Prasidh Krishna,F du Plessis,,0,0,0,0,1,V Kohli,caught,R Parag,Royal Challengers Bangalore
9241,1304082,1,1,3,V Kohli,M Jansen,Anuj Rawat,,0,0,0,0,1,V Kohli,caught,AK Markram,Royal Challengers Bangalore
10338,1304077,1,0,7,V Kohli,PVD Chameera,F du Plessis,,0,0,0,0,1,V Kohli,caught,DJ Hooda,Royal Challengers Bangalore
11340,1304073,1,1,2,V Kohli,SN Thakur,F du Plessis,,2,0,2,0,0,,,,Royal Challengers Bangalore
11341,1304073,1,1,3,V Kohli,SN Thakur,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
11345,1304073,1,2,1,V Kohli,KK Ahmed,F du Plessis,,1,0,1,0,0,,,,Royal Challengers Bangalore
11351,1304073,1,3,1,V Kohli,AR Patel,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
11353,1304073,1,3,3,V Kohli,AR Patel,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
11357,1304073,1,4,1,V Kohli,KK Ahmed,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
11359,1304073,1,4,3,V Kohli,KK Ahmed,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
11360,1304073,1,4,4,V Kohli,KK Ahmed,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
11361,1304073,1,4,5,V Kohli,KK Ahmed,GJ Maxwell,,4,0,4,0,0,,,,Royal Challengers Bangalore
11362,1304073,1,4,6,V Kohli,KK Ahmed,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
11366,1304073,1,5,4,V Kohli,Mustafizur Rahman,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
11367,1304073,1,5,5,V Kohli,Mustafizur Rahman,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
11369,1304073,1,6,1,V Kohli,SN Thakur,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
11370,1304073,1,6,2,V Kohli,SN Thakur,GJ Maxwell,,0,0,0,0,1,V Kohli,run out,Lalit Yadav,Royal Challengers Bangalore
